세그먼트코드,적용시작일자,역명,적용종료일자,이력구분,역일련번호,세그먼트누적거리,최초등록일시,최종변경일시
603,1900-01-01,역곡,9999-12-31,신규 ,3,3.2,2011-12-13 00:00,2011-12-13 00:00
603,1900-01-01,소사,9999-12-31,신규 ,4,4.7,2011-12-13 00:00,2011-12-13 00:00
606,1900-01-01,소사,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
606,1900-01-01,부천,9999-12-31,신규 ,2,1.1,2011-12-13 00:00,2011-12-13 00:00
609,1900-01-01,부천,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
609,1900-01-01,중동,9999-12-31,신규 ,2,1.7,2011-12-13 00:00,2011-12-13 00:00
612,1900-01-01,중동,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
612,1900-01-01,송내,9999-12-31,신규 ,2,1,2011-12-13 00:00,2011-12-13 00:00
612,1900-01-01,부개,9999-12-31,신규 ,3,2.2,2011-12-13 00:00,2011-12-13 00:00
612,1900-01-01,부평,9999-12-31,신규 ,4,3.7,2011-12-13 00:00,2011-12-13 00:00
615,1900-01-01,부평,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
615,1900-01-01,백운,9999-12-31,신규 ,2,1.7,2011-12-13 00:00,2011-12-13 00:00
615,1900-01-01,동암,9999-12-31,신규 ,3,3.2,2011-12-13 00:00,2011-12-13 00:00
615,1900-01-01,간석,9999-12-31,신규 ,4,4.4,2011-12-13 00:00,2011-12-13 00:00
615,1900-01-01,주안,9999-12-31,신규 ,5,5.6,2011-12-13 00:00,2011-12-13 00:00
618,1900-01-01,주안,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
618,1900-01-01,도화,9999-12-31,신규 ,2,1,2011-12-13 00:00,2011-12-13 00:00
618,1900-01-01,제물포,9999-12-31,신규 ,3,2,2011-12-13 00:00,2011-12-13 00:00
618,1900-01-01,도원,9999-12-31,신규 ,4,3.4,2011-12-13 00:00,2011-12-13 00:00
618,1900-01-01,동인천,9999-12-31,신규 ,5,4.6,2011-12-13 00:00,2011-12-13 00:00
621,1900-01-01,동인천,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
621,1900-01-01,인천,9999-12-31,신규 ,2,1.9,2011-12-13 00:00,2011-12-13 00:00
800,1900-01-01,천안,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
800,1900-01-01,봉명,9999-12-31,신규 ,2,1.3,2011-12-13 00:00,2011-12-13 00:00
800,1900-01-01,쌍용동,9999-12-31,신규 ,3,2.9,2011-12-13 00:00,2011-12-13 00:00
800,1900-01-01,아산,9999-12-31,신규 ,4,4.5,2011-12-13 00:00,2011-12-13 00:00
803,1900-01-01,아산,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
803,1900-01-01,모산,9999-12-31,신규 ,2,4.9,2011-12-13 00:00,2011-12-13 00:00
803,1900-01-01,온양온천,9999-12-31,신규 ,3,9.8,2011-12-13 00:00,2011-12-13 00:00
806,1900-01-01,온양온천,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
806,1900-01-01,신창,9999-12-31,신규 ,2,5.1,2011-12-13 00:00,2011-12-13 00:00
1100,1900-01-01,서울,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1100,1900-01-01,신촌,9999-12-31,신규 ,2,3.1,2011-12-13 00:00,2011-12-13 00:00
1100,1900-01-01,가좌,9999-12-31,신규 ,3,5.8,2011-12-13 00:00,2011-12-13 00:00
1100,1900-01-01,디엠시,9999-12-31,신규 ,4,7.5,2011-12-13 00:00,2011-12-13 00:00
1103,1900-01-01,디엠시,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1103,1900-01-01,수색,9999-12-31,신규 ,2,0.6,2011-12-13 00:00,2011-12-13 00:00
1103,1900-01-01,화전,9999-12-31,신규 ,3,4,2011-12-13 00:00,2011-12-13 00:00
1103,1900-01-01,행신,9999-12-31,신규 ,4,7.4,2011-12-13 00:00,2011-12-13 00:00
1103,1900-01-01,능곡,9999-12-31,신규 ,5,8.9,2011-12-13 00:00,2011-12-13 00:00
