G2B분류번호,G2B품명,G2B영문품명,품명해설,생성일시,G2B코드사용여부
25221356,디젤동차용오일팬,Diesel rail car oil pan,"디젤동차 기관의 각 작동부를 순환하는 윤활유를 저장하는 유조(油槽) 조립체로, 기관의 크랭크케이스와 조립되어 밀폐된 크랭크 실을 구성하고 팬 몸체에 오일배출구가 있으며, 부속품을 포함.",2012-12-19 01:27,Y
25221357,디젤동차용기어케이스,Diesel rail car gear case,"디젤동차 기관의 크랭크축 기어에 의해 구동되는 캠축 및 부속장치 구동기어열이 취부되고 보호 커버에 의해 밀폐되는 부분으로, 케이싱 및 부속품으로 구성됨.",2012-12-19 01:27,Y
25221358,디젤동차용아이들기어,Diesel rail car idle gear,"디젤동차용 아이들기어로, 풀리 및 벨트를 포함.",2012-12-19 01:27,Y
25221359,디젤동차용과급기,Diesel rail car turbocharger,"디젤동차 기관에서 배기가스의 폐열을 이용하여 연소실에 공급하는 공기량을 증가시켜 엔진효율을 높이는 장치로, 터빈 휠, 임펠러 및 하우징 등으로 구성됨.",2012-12-19 01:27,Y
25221361,철도차량용플라이휠,Rollingstock engine flywheel,객화차와 사고복구기중기 등 특수차량용 엔진의 크랭크축에 취부되어 크랭크축에서 발생하는 회전력의 불균형과 진동을 관성으로 흡수하여 회전력을 균일화 시켜주는원판 모양의 휠.,2012-12-19 01:27,Y
25221362,디젤동차용윤활유펌프,Diesel rail car lubricating oil pump,"디젤동차 기관에서 각 작동부의 마모방지를 위하여 윤할유의 압력을 형성하여 작동부에 윤활유를 공급 순환시키는 기어식 오일펌프로, 크랭크축에 의해 구동되고,하우징, 기어, 커버 등으로 구성됨.",2012-12-19 01:27,Y
25221363,디젤동차용윤활유여과기,Diesel rail car lubricating oil filter,"디젤동차 기관의 윤활유에 포함된 불순물을 걸러주는 여과기로, 여과지(ELEMENT)와 패킹, 하우징 등으로 구성됨.",2012-12-19 01:27,Y
25221364,디젤동차용윤활유배관,Diesel rail car lubricating oil manifold,"디젤동차 기관의 윤활계통을 구성하는 각종 배관 및 개스킷, 오링 등 연결용 부속품.",2012-12-19 01:27,Y
25221365,디젤동차용공기여과장치,Diesel rail car air filter,"디젤동차 기관에 공급되는 공기중의 불순물을 걸러주는 여과기로 엘리먼트, 하우징 및 부속품.",2012-12-19 01:27,Y
25221366,디젤동차용충전조정기,Diesel rail car regulator,"디젤동차의 교류발전기에서 나오는 출력 전압을 항상 일정하게 조정해주고 주정류기의 부하를 감지하여 과전류 과전압을 방지하며, 출력트랜지스터와 제어용기판 및다이오드 모듈 등으로 되어 있음.",2012-12-19 01:27,Y
25221367,디젤동차용윤활유압력스위치,Diesel rail car lubricating oil pressure switch,"디젤동차 기관의 윤활유 압력을 감지하여 계기에 표시해주고, 저유압시에 기관을 정지시키도록 기관조속기에 신호를 보내는 탐지기.",2012-12-19 01:27,Y
