그룹코드(GRP_CODE),그룹명칭(GRP_TEXT),그룹코드사용여부(GRP_CODEUSE)
BB010008,점퍼커넥터,Y
BB010009,밸브변콕크,Y
BB010010,부싱,Y
BB010011,펌프,Y
BB010012,감지센서,Y
BB010013,계전기,Y
BB010014,다이오드,Y
BB010015,못나사류,Y
BB010016,밴드,Y
BB010017,변환장치,Y
BB010018,볼트너트와셔,Y
BB010019,소켓,Y
BB010020,스위치,Y
BB010021,스프링,Y
BB010022,저항,Y
BB010023,전자변,Y
BB010024,접촉기,Y
BB010025,측정계측기,Y
BB010026,콘덴서,Y
BB010027,플러그,Y
BB010028,회로기판,Y
BB010029,전원공급기,Y
BB010030,제어반,Y
BB010031,기어,Y
BB010032,베어링,Y
BB010033,전동기,Y
BB010034,클램프,Y
BB010035,가스켓,Y
BB010036,애자,Y
BB010037,전선케이블,Y
BB010038,차단기(전기),Y
BB010039,멈춤링,Y
BB010040,인덕터,Y
BB010041,조명(기구),Y
BB010042,수납함,Y
BB010043,연결이음구,Y
BB010044,축전지,Y
BB010045,충전기,Y
BB010046,퓨즈,Y
BB010047,선재류,Y
BB010048,키핀류,Y
BB010049,냉난방기,Y
BB010050,닥트,Y
BB010051,슬리브,Y
BB010052,여과재,Y
BB010053,난방기,Y
BB010054,트랜지스터,Y
BB010055,관재류,Y
BB010056,냉방기,Y
BB010057,도어부속품,Y
BB010058,셔터,Y
BB010059,압축기,Y
BB010060,완충기,Y
BB010061,유리,Y
BB010062,응축기,Y
BB010063,축(전동축),Y
BB010064,호스,Y
BB010065,변류기,Y
BB010066,사이리스터,Y
BB010067,송풍기,Y
BB010068,조명(등),Y
BB010069,분전반,Y
BB010070,안정기,Y
BB010071,패킹,Y
BB010072,표지찰,Y
BB010073,조절기,Y
BB010074,거울,Y
BB010075,걸이류,Y
BB010076,냉동기,Y
BB010077,리벳,Y
II010031,휫팅,Y
II010032,캠플로워,Y
II010033,후렌지,Y
II010034,가스켓,Y
II010035,게이지,Y
II010036,기어,Y
II010037,발전기,Y
II010038,차륜안내장치,Y
II010039,가이드칼럼,Y
II010040,홀더,Y
II010041,호스,Y
II010042,인디케이터,Y
II010043,죠인트,Y
II010044,램프,Y
II010045,라이트,Y
II010046,록크,Y
II010047,메터,Y
II010048,모터,Y
II010049,분사기,Y
II010050,피니언,Y
II010051,플레이트,Y
II010052,플러그,Y
II010053,폴리,Y
II010054,로드,Y
II010055,롤러,Y
II010056,샤프트,Y
II010057,씰,Y
II010058,스크린,Y
II010059,소켓,Y
II010060,스트립,Y
II010061,스위치,Y
II010062,탬핑타인,Y
II010063,단자,Y
II010064,밸브,Y
II010065,바퀴,Y
II010066,와이어,Y
II010067,윈도우와이퍼,Y
II010068,크랭크축,Y
II010069,모니터,Y
II010070,콘넥션,Y
II010071,오링,Y
II010072,오-링,Y
II010073,다짐작업조정장치,Y
II010074,공기시린더,Y
II010075,압축기,Y
II010076,축전지,Y
II010077,지게차부품,Y
II010078,펌프,Y
II010079,전자변,Y
II010080,체인,Y
II010081,벨트,Y
II010082,원격제어레버,Y
II010083,브레이크류,Y
