첨부파일_아이디(ID),역명,물류시설일련번호,사진설명,원본파일명,첨부파일명,첨부파일크기,최초등록일시,최종변경일시
295,울산항,1,삼익물류,울산항_철도CY_시설물사진_삼익물류.jpg,2011101514170101.jpg,170638,2011-09-01 00:00,2016-08-05 16:55
296,울산항,1,울기(환) 4km.605,울산항_철도CY_배선약도.jpg,2011101514170102.jpg,81237,2011-09-01 00:00,2016-08-05 16:55
297,울산항,1,울산항 역사,울산항_철도CY_현장사진_울산항 역사.jpg,2011101514170103.jpg,16513,2011-09-01 00:00,2016-08-05 16:55
298,울산항,1,울산항 전경,울산항_철도CY_현장사진_울산항 전경.jpg,2011101514170104.jpg,27172,2011-09-01 00:00,2016-08-05 16:55
299,울산항,1,삼익물류 2번선 적하작업,울산항_철도CY_현장사진_삼익물류 2번선 적하작업.jpg,2011101514170105.jpg,21400,2011-09-01 00:00,2016-08-05 16:55
300,울산항,2,국보,울산항_철도CY_시설물사진_국보.jpg,2011101514180100.jpg,152185,2011-09-01 00:00,2016-08-05 16:56
301,울산항,2,국보 2번선 적하작업,울산항_철도CY_현장사진_국보 2번선 적하작업.jpg,2011101514180101.jpg,15025,2011-09-01 00:00,2016-08-05 16:56
302,임곡,1,광주광역시 광산구,임곡_철도CY_항공사진.jpg,2011101514262200.jpg,370792,2011-09-01 00:00,2011-09-01 00:00
303,임곡,1,"1: 삼익, 2: 한진",임곡_철도CY_시설물사진.jpg,2011101514262201.jpg,198176,2011-09-01 00:00,2011-09-01 00:00
304,임곡,1,대기(환) 174km.700,임곡_철도CY_배선약도.jpg,2011101514262202.jpg,81196,2011-09-01 00:00,2011-09-01 00:00
305,임곡,1,임곡 CY 적하선,임곡_철도CY_현장사진_임곡 CY 적하선.jpg,2011101514262203.jpg,25864,2011-09-01 00:00,2011-09-01 00:00
306,임곡,1,"임곡 CY (삼익 , 한진 사용)","임곡_철도CY_현장사진_임곡 CY (삼익 , 한진 사용).jpg",2011101514262204.jpg,25658,2011-09-01 00:00,2011-09-01 00:00
307,장성화,1,전라남도 장성군,장성화물_철도CY_항공사진.jpg,2011101610460200.jpg,417504,2011-09-01 00:00,2011-09-01 00:00
308,장성화,1,대한통운,장성화물_철도CY_시설물사진.jpg,2011101610460201.jpg,159292,2011-09-01 00:00,2011-09-01 00:00
309,장성화,1,안평기점 3km.600,장성화물_철도CY_배선약도.jpg,2011101610460202.jpg,70470,2011-09-01 00:00,2011-09-01 00:00
310,장성화,1,장성화물 CY 적하선(대한통운 사용),장성화물_철도CY_현장사진_장성화물 CY 적하선(대한통운 사용).jpg,2011101610460203.jpg,26826,2011-09-01 00:00,2011-09-01 00:00
311,장성화,1,확장중인 장성화물 CY,장성화물_철도CY_현장사진_확장중인 장성화물 CY.jpg,2011101610460204.jpg,23456,2011-09-01 00:00,2011-09-01 00:00
312,적량,1,전라남도 여수시,적량_철도CY_항공사진.jpg,2011101610550100.jpg,397916,2011-09-01 00:00,2011-09-01 00:00
313,적량,1,삼남석유화학(주),적량_철도CY_시설물사진.jpg,2011101610550101.jpg,175338,2011-09-01 00:00,2011-09-01 00:00
314,적량,1,덕기점 10km.486,적량_철도CY_배선약도.jpg,2011101610550102.jpg,144937,2011-09-01 00:00,2011-09-01 00:00
315,적량,1,삼남석유화학 CY,적량_철도CY_현장사진_삼남석유화학 CY_1.jpg,2011101610550103.jpg,17352,2011-09-01 00:00,2011-09-01 00:00
316,적량,1,삼남석유화학 CY,적량_철도CY_현장사진_삼남석유화학 CY_2.jpg,2011101610550104.jpg,17544,2011-09-01 00:00,2011-09-01 00:00
317,적량,1,태금역사에서 포스코 방향,적량_철도CY_현장사진_태금역사에서 포스코 방향.jpg,2011101610550105.jpg,18120,2011-09-01 00:00,2011-09-01 00:00
318,적량,1,,적량_철도CY_현장사진.jpg,2011101610550106.jpg,16371,2011-09-01 00:00,2011-09-01 00:00
319,조치원,1,충청남도 연기군,조치원_철도CY_항공사진.jpg,2011101611040100.jpg,445452,2011-09-01 00:00,2016-08-08 10:34
320,조치원,1,한진,조치원_철도CY_시설물사진.jpg,2011101611040101.jpg,217640,2011-09-01 00:00,2016-08-08 10:34
321,조치원,1,서기(환) 129k.907,조치원_철도CY_배선약도.jpg,2011101611040102.jpg,142387,2011-09-01 00:00,2016-08-08 10:34
322,조치원,1,상세도(한진),조치원_철도CY_배선약도_한진_상세도.jpg,2011101611040103.jpg,62099,2011-09-01 00:00,2016-08-08 10:34
323,조치원,1,한진 사무실,조치원_철도CY_현장사진_한진 사무실.jpg,2011101611040104.jpg,23794,2011-09-01 00:00,2016-08-08 10:34
324,조치원,1,한진 CY,조치원_철도CY_현장사진_한진 CY_1.jpg,2011101611040105.jpg,17706,2011-09-01 00:00,2016-08-08 10:34
325,조치원,1,한진 CY,조치원_철도CY_현장사진_한진 CY_2.jpg,2011101611040106.jpg,18586,2011-09-01 00:00,2016-08-08 10:34
326,조치원,1,한진 CY,조치원_철도CY_현장사진_한진 CY_3.jpg,2011101611040107.jpg,19545,2011-09-01 00:00,2016-08-08 10:34
327,충주,1,충청북도 충주시,충주_철도CY_항공사진.jpg,2011101611121100.jpg,322907,2011-09-01 00:00,2023-10-18 17:16
328,충주,1,코레일로지스,충주_철도CY_시설물사진.jpg,2011101611121101.jpg,173602,2011-09-01 00:00,2023-10-18 17:16
329,충주,1,조기 82k700,충주_철도CY_배선약도.jpg,2011101611121102.jpg,131471,2011-09-01 00:00,2023-10-18 17:16
330,충주,1,양회 싸이로 (상세),충주_철도CY_배선약도_상세도.jpg,2011101611121103.jpg,50831,2011-09-01 00:00,2023-10-18 17:16
331,충주,1,콘테이너하치장 (코레일로지스),충주_철도CY_현장사진_콘테이너하치장 (코레일로지스)_1.jpg,2011101611121104.jpg,16786,2011-09-01 00:00,2023-10-18 17:16
332,충주,1,콘테이너하치장 (코레일로지스),충주_철도CY_현장사진_콘테이너하치장 (코레일로지스)_2.jpg,2011101611121105.jpg,20277,2011-09-01 00:00,2023-10-18 17:16
333,태금,1,전라남도 광양시,태금_철도CY_항공사진.jpg,2011101611180400.jpg,380477,2011-09-01 00:00,2011-09-01 00:00
334,태금,1,코레일로지스,태금_철도CY_시설물사진.jpg,2011101611180401.jpg,153939,2011-09-01 00:00,2011-09-01 00:00
335,태금,1,황기 2km.450,태금_철도CY_배선약도.jpg,2011101611180402.jpg,217657,2011-09-01 00:00,2011-09-01 00:00
336,태금,1,태금역사에서 포스코 방향,태금_철도CY_현장사진_태금역사에서 포스코 방향.jpg,2011101611180403.jpg,12572,2011-09-01 00:00,2011-09-01 00:00
337,흥국사,1,전라남도 여수시,흥국사_철도CY_항공사진.jpg,2011101611303100.jpg,422884,2011-09-01 00:00,2023-10-13 09:07
338,흥국사,1,대한통운 (로지스 공용),흥국사_철도CY_시설물사진.jpg,2011101611303101.jpg,201281,2011-09-01 00:00,2023-10-13 09:07
339,흥국사,1,덕기 4km.974,흥국사_철도CY_배선약도.jpg,2011101611303102.jpg,120807,2011-09-01 00:00,2023-10-13 09:07
340,흥국사,1,흥국사역사에서 덕양역 방향,흥국사_철도CY_현장사진_흥국사역사에서 덕양역 방향.jpg,2011101611303103.jpg,19211,2011-09-01 00:00,2023-10-13 09:07
341,흥국사,1,흥국사역 CY 작업광경,흥국사_철도CY_현장사진_흥국사역 CY 작업광경.jpg,2011101611303104.jpg,20441,2011-09-01 00:00,2023-10-13 09:07
342,흥국사,1,흥국사역 전경 (덕양역쪽에서 적량역 방향),흥국사_철도CY_현장사진_흥국사역 전경 (덕양역쪽에서 적량역 방향).jpg,2011101611303105.jpg,22504,2011-09-01 00:00,2023-10-13 09:07
343,흥국사,1,흥국사역 전경(확대),흥국사_철도CY_현장사진_흥국사역 전경(확대).jpg,2011101611303106.jpg,23385,2011-09-01 00:00,2023-10-13 09:07
344,옥천,1,충청북도 옥천군,옥천_철도CY_항공사진.jpg,2011101611370100.jpg,427260,2011-09-01 00:00,2016-08-12 17:47
345,옥천,1,"천일정기화물, 현대상선",옥천_철도CY_시설물사진.jpg,2011101611370101.jpg,203850,2011-09-01 00:00,2016-08-12 17:47
346,옥천,1,서기(환) 182km.500,옥천_철도CY_배선약도.jpg,2011101611370102.jpg,117778,2011-09-01 00:00,2016-08-12 17:47
347,옥천,1,하치장 전면,옥천_철도CY_현장사진_하치장 전면.jpg,2011101611370103.jpg,12955,2011-09-01 00:00,2016-08-12 17:47
348,옥천,1,하치장,옥천_철도CY_현장사진_하치장.jpg,2011101611370104.jpg,13585,2011-09-01 00:00,2016-08-12 17:47
349,옥천,1,하치장 입구,옥천_철도CY_현장사진_하치장 입구.jpg,2011101611370105.jpg,16316,2011-09-01 00:00,2016-08-12 17:47
350,옥천,1,하치장 후면,옥천_철도CY_현장사진_하치장 후면.jpg,2011101611370106.jpg,15555,2011-09-01 00:00,2016-08-12 17:47
351,송정리,1,광주광역시 광산구,광주송정_철도CY_항공사진.jpg,2011101611440100.jpg,479502,2011-09-01 00:00,2011-09-01 00:00
352,송정리,1,"1: 세방, 2: 국보",광주송정_철도CY_시설물사진.jpg,2011101611440101.jpg,252787,2011-09-01 00:00,2011-09-01 00:00
353,송정리,1,대기(환) 185km.700,광주송정_철도CY_배선약도.jpg,2011101611440102.jpg,131982,2011-09-01 00:00,2011-09-01 00:00
354,송정리,1,컨테이너 하치장 (상세),광주송정_철도CY_배선약도_상세도.jpg,2011101611440103.jpg,100858,2011-09-01 00:00,2011-09-01 00:00
355,송정리,1,컨테이너하치장 (세 방),광주송정_철도CY_현장사진_컨테이너하치장 (세 방).jpg,2011101611440104.jpg,27544,2011-09-01 00:00,2011-09-01 00:00
356,송정리,2,컨테이너하치장 (국 보),광주송정_철도CY_현장사진_컨테이너하치장 (국 보).jpg,2011101611443000.jpg,25016,2011-09-01 00:00,2011-09-01 00:00
357,매포,1,충청북도 청원군,"매포_싸이로, 철도CY_항공사진.jpg",2011101611550100.jpg,501992,2011-09-01 00:00,2022-06-14 13:08
358,매포,1,쌍용,매포_싸이로_시설물사진_쌍용.jpg,2011101611550101.jpg,144414,2011-09-01 00:00,2022-06-14 13:08
359,매포,1,서기(환) 144k.400,"매포_싸이로, 철도CY_배선약도.jpg",2011101611550102.jpg,155781,2011-09-01 00:00,2022-06-14 13:08
360,매포,1,쌍용양회 싸이로,"매포_싸이로, 철도CY_현장사진_쌍용양회 싸이로.jpg",2011101611550103.jpg,22090,2011-09-01 00:00,2022-06-14 13:08
361,매포,3,한라,매포_싸이로_시설물사진_한라.jpg,2011101611560100.jpg,171841,2011-09-01 00:00,2016-08-12 17:24
362,매포,3,라파즈한라 싸이로,"매포_싸이로, 철도CY_현장사진_라파즈한라 싸이로.jpg",2011101611560101.jpg,23727,2011-09-01 00:00,2016-08-12 17:24
363,매포,1,세방(주),매포_철도CY_시설물사진.jpg,2011101611570100.jpg,193146,2011-09-01 00:00,2012-01-09 15:19
364,매포,1,매포역 CY,"매포_싸이로, 철도CY_현장사진_매포역 CY.jpg",2011101611570101.jpg,23922,2011-09-01 00:00,2012-01-09 15:19
365,부강,1,충청북도 청원군,"부강_싸이로, 철도CY_항공사진.jpg",2011101613040100.jpg,533180,2011-09-01 00:00,2016-08-12 17:22
366,부강,1,"가: 10,000*1, 나: 15,000*1",부강_싸이로_시설물사진.jpg,2011101613040101.jpg,152280,2011-09-01 00:00,2016-08-12 17:22
367,부강,1,성신양회 청원선,"부강_싸이로, 철도CY_배선약도_성신양회_상세도.jpg",2011101613040102.jpg,74209,2011-09-01 00:00,2016-08-12 17:22
368,부강,1,양회싸이로,부강_싸이로_현장사진_양회싸이로.jpg,2011101613040103.jpg,22879,2011-09-01 00:00,2016-08-12 17:22
369,부강,1,양회싸이로 선로쪽면,부강_싸이로_현장사진_양회싸이로 선로쪽면.jpg,2011101613040104.jpg,18677,2011-09-01 00:00,2016-08-12 17:22
370,부강,1,"삼익(동부), 동부익스프레스",부강_철도CY_시설물사진.jpg,2011101613060100.jpg,220847,2011-09-01 00:00,2016-08-12 17:14
371,부강,1,서기(환) 140k.252,"부강_싸이로, 철도CY_배선약도.jpg",2011101613060101.jpg,111596,2011-09-01 00:00,2016-08-12 17:14
372,북전주,1,전라북도 전주시,"북전주_싸이로, 철도CY_항공사진.jpg",2011101613200100.jpg,571168,2011-09-01 00:00,2024-02-26 10:21
373,북전주,1,한일,북전주_싸이로_시설물사진_한일.jpg,2011101613200101.jpg,126595,2011-09-01 00:00,2024-02-26 10:21
374,북전주,1,익기 7km. 100,"북전주_싸이로, 철도CY_배선약도.jpg",2011101613200102.jpg,97920,2011-09-01 00:00,2024-02-26 10:21
375,북전주,1,상세도(한일시멘트),북전주_싸이로_배선약도_한일시멘트.jpg,2011101613200103.jpg,42215,2011-09-01 00:00,2024-02-26 10:21
376,북전주,1,한일시멘트,북전주_싸이로_현장사진_한일시멘트_1.jpg,2011101613200104.jpg,14846,2011-09-01 00:00,2024-02-26 10:21
377,북전주,1,한일시멘트,북전주_싸이로_현장사진_한일시멘트_2.jpg,2011101613200105.jpg,19685,2011-09-01 00:00,2024-02-26 10:21
378,북전주,2,현대,북전주_싸이로_시설물사진_현대.jpg,2011101613220100.jpg,127584,2011-09-01 00:00,2011-09-01 00:00
379,북전주,2,상세도(현대시멘트),북전주_싸이로_배선약도_현대시멘트.jpg,2011101613220101.jpg,62710,2011-09-01 00:00,2011-09-01 00:00
380,북전주,2,현대시멘트,북전주_싸이로_현장사진_현대시멘트_1.jpg,2011101613220102.jpg,15104,2011-09-01 00:00,2011-09-01 00:00
381,북전주,2,현대시멘트,북전주_싸이로_현장사진_현대시멘트_2.jpg,2011101613220103.jpg,19932,2011-09-01 00:00,2011-09-01 00:00
382,북전주,1,(주) 휴비스,북전주_철도CY_시설물사진_휴비스.jpg,2011101613240100.jpg,149051,2011-09-01 00:00,2011-09-01 00:00
383,북전주,1,휴비스(전경),북전주_철도CY_현장사진_휴비스(전경).jpg,2011101613240101.jpg,16667,2011-09-01 00:00,2011-09-01 00:00
384,북전주,1,"휴비스 C,Y (항공사진)","북전주_철도CY_현장사진_휴비스 C,Y (항공사진).jpg",2011101613240102.jpg,14127,2011-09-01 00:00,2011-09-01 00:00
385,북전주,2,(주) 전주페이퍼,북전주_철도CY_시설물사진_전주페이퍼.jpg,2011101613260100.jpg,138170,2011-09-01 00:00,2011-09-01 00:00
386,북전주,2,상세도(전주페이퍼),북전주_철도CY_배선약도_전주페이퍼.jpg,2011101613260101.jpg,70324,2011-09-01 00:00,2011-09-01 00:00
387,북전주,2,전주페이퍼(전경),북전주_철도CY_현장사진_전주페이퍼(전경).jpg,2011101613260102.jpg,17023,2011-09-01 00:00,2011-09-01 00:00
388,북전주,2,"전주페이퍼 C,Y(항공사진)","북전주_철도CY_현장사진_전주페이퍼 C,Y(항공사진).jpg",2011101613260103.jpg,19782,2011-09-01 00:00,2011-09-01 00:00
389,약목,1,경북 칠곡군 약목면,"약목_싸이로, 철도CY_항공사진.jpg",2011101613330100.jpg,518052,2011-09-01 00:00,2024-02-26 17:44
390,약목,1,아세아,약목_싸이로_시설물사진.jpg,2011101613330101.jpg,157318,2011-09-01 00:00,2024-02-26 17:44
391,약목,1,서기(환) 209km.271,"약목_싸이로, 철도CY_배선약도.jpg",2011101613330102.jpg,101781,2011-09-01 00:00,2024-02-26 17:44
392,약목,1,상세도(아세아시멘트),약목_싸이로_배선약도_아세아시멘트_상세도.jpg,2011101613330103.jpg,51487,2011-09-01 00:00,2024-02-26 17:44
393,약목,1,약목역 아세아시멘트 전용선 모습,약목_싸이로_현장사진_약목역 아세아시멘트 전용선 모습.jpg,2011101613330104.jpg,19899,2011-09-01 00:00,2024-02-26 17:44
394,약목,1,코레일로지스 외 3개,약목_철도CY_시설물사진_코레일로지스.jpg,2011101613360100.jpg,145259,2011-09-01 00:00,2016-08-11 18:56
395,약목,1,약목역 구미CY,약목_철도CY_현장사진_약목역 구미CY.jpg,2011101613360101.jpg,20994,2011-09-01 00:00,2016-08-11 18:56
456,영주,1,,영주_CY_항공사진.jpg,2023101913522700.jpg,234809,2023-10-19 13:52,2024-02-05 14:13
397,약목,2,약목역 약목 CY,약목_철도CY_현장사진_약목역 약목 CY.jpg,2011101613370001.jpg,32549,2011-09-01 00:00,2016-08-11 18:52
