역명,물류시설일련번호,지역본부명,구역구분명,설치일자,운용개시일자,조성일자,기부채납일자,사용시작일자,사용종료일자,무상사용시작일자,무상사용종료일자,시설자산여부,시설자산사용면적수,시설자산전체면적수,운영자산여부,운영자산사용면적수,운영자산전체면적수,기타자산여부,기타자산사용면적수,기타자산전체면적수,부지사용면적수,부지전체면적수,연간사용요금내역,연간수입내역,연간적정수송면적수,최초등록일시,최종변경일시,최대작업수량,작업선유효장
한림정,2,부산경남본부,,1988-08-03,,,1990-11-24,1988-08-03,9999-12-31,,,0,,,1,761,761,0,,,761,761,24999600,,,2011-09-01 00:00,2023-10-19 16:50,,
한림정,3,부산경남본부,,,,,,2011-08-12,2023-10-20,,,0,,,0,,,Y,,,,,사유지,,,2011-09-01 00:00,2011-09-01 00:00,,
극락강,1,광주본부,,1986-12-16,,,1988-02-01,1986-12-16,9999-12-31,,,0,,,Y,,,0,,,,,3170400,,,2011-09-01 00:00,2011-09-01 00:00,,
극락강,2,광주본부,,1991-04-19,,,1992-01-09,1991-04-19,9999-12-31,1992-01-09,2012-01-09,0,,,Y,,,0,,,,,,,,2011-09-01 00:00,2011-09-01 00:00,,
장성,1,광주본부,,1973-02-28,,,,1973-02-28,2016-08-09,,,0,,,0,,,Y,,,,,"사유지, 전용선",,,2011-09-01 00:00,2011-09-01 00:00,,
여수,1,전남본부,,1969-08-01,,,,1969-08-01,2016-08-09,,,N,,,N,,,N,,,,,"사유지, 전용선",,,2011-09-01 00:00,2011-09-01 00:00,,
여수,2,전남본부,,1980-04-01,,,,1980-04-01,2016-08-09,,,N,,,N,,,N,,,,,305000000,,,2011-09-01 00:00,2011-09-01 00:00,,
부용,1,전북본부,,1984-06-26,,,1986-07-01,1984-06-26,9999-12-31,,,0,,,Y,,,0,,,,,305000000,,,2011-09-01 00:00,2011-09-01 00:00,,
북전주,1,전북본부,,1994-11-08,,,,1994-11-08,2023-12-31,,,0,,,0,,,1,13000,13000,13000,13000,"사유지, 전용선",,,2011-09-01 00:00,2024-02-26 10:21,,
북전주,2,전북본부,,1988-01-12,,,,1988-01-12,9999-12-31,,,0,,,0,,,Y,7900,7900,7900,7900,사유지,,,2011-09-01 00:00,2011-09-01 00:00,,
